G2latitude,G2longitude,G2pressure,G2depth,G2temperature,G2theta,G2salinity,G2sigma0,G2phtsinsitutp,G2silicate,G2nitrate,G2sigma3,G2gamma,G2aou,G2sigma4,G2phosphate,G2sigma1,G2tco2,G2oxygen,G2sigma2,G2fco2,G2talk
-49.504,-170.01,47.4,46.99,9.85,9.8446,34.382,26.496,8.0963,1.443,11.34,39.589,26.5613473,5.5855,43.761,0.85419,30.959,2084.1,271.17,35.322,526.72,2285.9
-49.504,-170.01,98.7,97.835,9.73,9.7189,34.368,26.506,8.0901,1.5188,11.805,39.607,26.57249048,6.3669,43.782,0.87703,30.972,2084.6,271.17,35.338,534.66,2283.4
-49.504,-170.01,149.1,147.78,8.43,8.4146,34.411,26.749,8.0293,3.8772,17.441,39.933,26.83623363,25.453,44.133,1.1954,31.243,2116.9,260.04,35.637,655.03,2281.9
-49.504,-170.01,198.2,196.41,8.03,8.0101,34.431,26.826,8.0288,4.7736,18.126,40.036,26.92253593,29.903,44.245,1.2659,31.329,2121.3,258.13,35.732,663.94,2284.6
-49.504,-170.01,299.1,296.33,7.54,7.5108,34.393,26.869,8.0306,5.4256,18.552,40.114,26.9731895,22.58,44.333,1.3122,31.384,2120.9,268.78,35.798,666.99,2283.2
-49.504,-170.01,400,396.21,7.1,7.0621,34.349,26.898,8.0128,6.9802,20.132,40.174,27.00801797,32.242,44.404,1.4097,31.424,2129.1,262.19,35.848,703.07,2282.9
-49.504,-170.01,700.6,693.45,5.82,5.7589,34.326,27.05,7.949,17.269,25.971,40.419,27.18738265,76.193,44.677,1.741,31.608,2161,227.26,36.064,842.17,2288
-49.504,-170.01,900.1,890.49,4.66,4.5883,34.305,27.171,7.9196,26.796,29.46,40.626,27.33803959,93.934,44.911,1.9655,31.758,2181.7,218.06,36.242,929.77,2295.1
-49.504,-170.01,1100.3,1088,3.74,3.6584,34.347,27.301,7.8839,41.161,31.823,40.826,27.48554559,115.36,45.133,2.1603,31.912,2205.6,203.59,36.42,1031.9,2305.5
-49.504,-170.01,1299.5,1284.4,3.19,3.097,34.423,27.416,7.8606,56.269,33.569,40.983,27.61759382,134.83,45.302,2.2879,32.041,2229.6,188.33,36.563,1099.1,2322.6
-49.504,-170.01,1689.6,1668.4,2.64,2.5208,34.556,27.573,7.8385,76.599,34.39,41.182,27.79924182,156.18,45.515,2.3531,32.213,2254.4,171.28,36.749,1147.5,2343.8
-49.504,-170.01,2499.1,2463.1,2.11,1.9274,34.721,27.754,7.841,87.084,31.714,41.407,27.997019,147.59,45.754,2.1734,32.409,2252.4,184.33,36.959,1080.6,2351.5
-49.504,-170.01,2940.7,2895.4,1.81,1.5918,34.737,27.792,7.8484,94.67,31.34,41.473,28.05519797,142,45.828,2.1544,32.457,2254.1,192.69,37.016,1033.9,2360.6
-49.504,-170.01,3190.1,3139.2,1.63,1.3915,34.734,27.805,7.8395,100.7,31.357,41.502,28.08320456,138.32,45.862,2.1842,32.475,2255.5,198.07,37.04,1038.1,2361.6
-49.504,-170.01,3998.4,3927.3,1.08,0.77292,34.709,27.826,7.8207,116.38,31.994,41.576,28.17154762,137.06,45.952,2.2054,32.514,2261.2,204.74,37.097,1028.3,2369.6
-49.504,-170.01,4500.4,4415.4,0.96,0.6016,34.707,27.835,7.802,121.28,32.171,41.599,28.20253528,136,45.981,2.2395,32.529,2261.3,207.32,37.116,1028.4,2369.8
-49.504,-170.01,5001.3,4901.3,0.97,0.55338,34.705,27.837,7.766,123.16,32.209,41.605,28.20969399,135.73,45.987,2.2447,32.531,2262.3,208.02,37.12,1063.5,2365.5
-48.499,-170,5.3,5.2552,11.58,11.579,34.676,26.417,8.1021,1.146,5.8792,39.398,26.47599192,6.0027,43.535,0.4911,30.842,2075,260.18,35.167,485.71,2293.3
-48.499,-170,49.1,48.68,11.58,11.574,34.675,26.418,8.0997,1.0361,5.9068,39.398,26.47586235,6.8354,43.535,0.52313,30.842,2074.6,259.38,35.168,486.52,2292.5
-48.499,-170,101.1,100.22,11.6,11.587,34.677,26.417,8.0955,1.0363,6.0601,39.397,26.47436884,7.1571,43.533,0.61283,30.841,2074.8,258.98,35.166,488.92,2291.8
-48.499,-170,148.5,147.19,10.58,10.562,34.746,26.656,8.0351,3.0317,11.538,39.697,26.72964703,30.44,43.852,0.78997,31.101,2108.9,241.38,35.447,593.99,2292.4
-48.499,-170,297.3,294.58,7.89,7.8602,34.412,26.833,8.0135,4.882,18.129,40.054,26.93204629,29.811,44.266,1.1979,31.34,2123.2,259.23,35.746,686.17,2280.6
-48.499,-170,398.5,394.76,7.59,7.5507,34.404,26.872,8.0208,5.4259,18.514,40.114,26.97666429,26.875,44.332,1.204,31.386,2122.7,264.2,35.799,675.72,2282.8
-48.499,-170,498.7,493.9,7.25,7.2018,34.366,26.892,8.0165,6.1663,19.223,40.158,27.00137185,26.982,44.384,1.2697,31.414,2124.3,266.48,35.836,685.61,2281.9
-48.499,-170,698.8,691.74,6.76,6.6941,34.381,26.973,7.9709,11.358,23.003,40.275,27.09017686,62.785,44.511,1.521,31.508,2146.2,234.06,35.941,769.62,2286.6
-48.499,-170,898.5,889,5.87,5.7901,34.356,27.07,7.9215,18.634,26.458,40.436,27.20794048,86.075,44.693,1.7832,31.627,2166.4,217.09,36.081,881.27,2286.7
-48.499,-170,1098.7,1086.6,4.8,4.7096,34.371,27.21,7.896,33.104,29.821,40.654,27.3726218,110.92,44.936,2.0309,31.793,2192.8,200.02,36.274,963.19,2302.1
-48.499,-170,1298.3,1283.3,3.71,3.612,34.379,27.331,7.8674,46.225,32.181,40.859,27.51637257,124.11,45.167,2.1384,31.944,2214.7,195.12,36.452,1056.9,2311.9
-48.499,-170,1498.3,1480.3,3.18,3.0705,34.447,27.437,7.8518,60.312,33.389,41.006,27.64103999,141.66,45.326,2.2402,32.063,2235.5,181.65,36.585,1104.2,2328.4
-48.499,-170,1687.8,1666.8,2.91,2.7875,34.523,27.523,7.8287,74.026,33.905,41.112,27.7392638,156.29,45.439,2.3481,32.157,2252.7,169.09,36.686,1160.9,2340
-48.499,-170,1998.1,1971.8,2.51,2.3661,34.607,27.627,7.8258,84.877,33.869,41.248,27.85695954,161.1,45.584,2.3382,32.271,2263,167.49,36.81,1157.5,2352.1
