latitude,longitude,Water_depth_m,Sample_depth_average_cm,C_N_Ratio,Total_Organic_Carbon_perc,Total_Nitrogen_perc,d13C,D14C
31.76,121.12,12,0.5,11.1111,0.74,0.07,-25.25,-414.5
31.6,121.32,4,0.5,10,0.22,0.02,-25.09,-545.2
31.41,121.55,12,0.5,11.1111,0.29,0.03,-24.54,-758.7
31.25,121.78,10,0.5,11.1111,0.33,0.03,-25.24,-571.1
31,122.04,2,0.5,7.6923,0.83,0.1,-24.54,-341
30.86,122.5,15,0.5,7.6923,0.59,0.08,-23.8,-486.9
30.79,122.81,30,0.5,7.6923,0.88,0.12,-23.3,-306
30.72,123,46,0.5,11.1111,0.83,0.07,-23.44,-667.3
30.56,123.49,52,0.5,8.3333,0.41,0.05,-23.68,-336.1
30.44,124,53,0.5,9.0909,0.46,0.05,-24.24,-328.6
29.5,122.83,55,2.5,7.3014,0.4988,0.0797,-21.249,-274.5
29.5,122.83,55,2.5,7.3014,0.4988,0.0797,-21.249,-274.5
29.02831667,122.59425,53.6,2.5,7.824,0.7029,0.1048,-21.476,-260.1
29.02831667,122.59425,53.6,2.5,7.824,0.7029,0.1048,-21.476,-260.1
27.58778333,121.2516833,27.1,2.5,7.8271,0.7592,0.1132,-21.84,-274.2
27.58778333,121.2516833,27.1,2.5,7.8271,0.7592,0.1132,-21.84,-274.2
27.37911667,123.33175,106,2.5,7.0946,0.1845,0.0303,-20.411,-375
27.37911667,123.33175,106,2.5,7.0946,0.1845,0.0303,-20.411,-375
26.5994,120.7472,56.5,2.5,12.2551,1.1407,0.1086,-22.595,-320.8
26.5994,120.7472,56.5,2.5,12.2551,1.1407,0.1086,-22.595,-320.8
31.75016667,123.4976667,36,2.5,12.96,0.2196,0.0198,-21.508,-564.2
31.75016667,123.4976667,36,2.5,12.96,0.2196,0.0198,-21.508,-564.2
31.66816667,125.9985,70,2.5,6.9395,0.74,0.1244,-21.574,-247.2
31.66816667,125.9985,70,2.5,6.9395,0.74,0.1244,-21.574,-247.2
31.00208333,126.9982167,100,2.5,9.098,0.7325,0.0939,-20.907,-229
31.00208333,126.9982167,100,2.5,9.098,0.7325,0.0939,-20.907,-229
28.74,122.01,18,0.5,0.107,0.69,0.09,-23.18,-477.2
27.52,121.93,80,0.5,0.139,0.62,0.1,-22.89,-422.6
26.71,121.34,73,0.5,0.106,0.59,0.07,-22.25,-450.9
26.29,120.1,32,0.5,0.109,0.69,0.09,-22.48,-385.7
25.87,120.51,66,0.5,0.124,0.67,0.1,-19.14,-408.8
30.3,122.48,17,0.5,0.12,0.36,0.05,-23.9,-486.7
30.78,122.5,16,0.5,0.104,0.47,0.06,-23.89,-395.1
31.61,122.88,33,0.5,0.111,0.41,0.05,-21.9,-328.3
31.15,122.5,15,0.5,0.116,0.56,0.08,-22.75,-417.2
32.03,125,47,0.5,0.13,0.36,0.06,-21.9,-311.7
31.7,124,49,0.5,0.172,0.26,0.05,-22.34,-421.3
30.96,124.89,57,0.5,0.131,0.37,0.06,-21.75,-340.5
30,124.98,57,0.5,0.184,0.2,0.04,-21.3,-326.7
30.36,124,52,0.5,0.129,0.3,0.04,-23.57,-584
28.27,125.01,100,0.5,0.097,0.28,0.03,-22.31,-494.2
26.53,123.54,151,0.5,0.146,0.21,0.04,-22.8,-423
29.12,123.5,68,0.5,0.17,0.32,0.06,-22.14,-392.1
30.96,122.76,25,0.5,0.1391,0.59,0.08,-22,-466
29.89,122.64,36,0.5,0.1376,0.41,0.07,-21.9,-296.9
28.82,122.24,31,0.5,0.1397,0.69,0.11,-22.5,-382.3
26.28,120.36,47,0.5,0.1383,0.47,0.08,-21.4,-245.2
29.9,122.65,37,0.5,0.1259,0.52,0.06,-22.1,-337.7
28.82,122.24,32,0.5,0.1176,0.63,0.1,-21.9,-218.5
26.28,120.36,48,0.5,0.1057,0.45,0.1,-21.5,-325.2
29.8,122.51,23,0.5,0.097,0.47,0.05,-21.66,-437.1
38.3398,120.4501,30,1,7.8,0.35,0.06,-21.8,-240.2
38.3398,120.4501,30,1,7.8,0.35,0.06,-21.8,-240.2
38.6668,118.9734,26,1,7.8,0.61,0.09,-22,-276.1
38.6668,118.9734,26,1,7.8,0.61,0.09,-22,-276.1
39.3082,119.7081,26,1,8.2,0.71,0.1,-21.8,-249.9
39.3082,119.7081,26,1,8.2,0.71,0.1,-21.8,-249.9
39.1826,120.0663,51,1,8.3,0.5,0.07,-21.7,-263.1
39.1826,120.0663,51,1,8.3,0.5,0.07,-21.7,-263.1
39.1003,120.3371,22,1,7.8,0.2,0.03,-21.7,-241.2
39.1003,120.3371,22,1,7.8,0.2,0.03,-21.7,-241.2
39.0585,120.6101,37,1,8.8,0.35,0.04,-22.3,-251.7
39.0585,120.6101,37,1,8.8,0.35,0.04,-22.3,-251.7
38.0093,120.327,20,1,7.8,0.2,0.03,-21.9,-299.8
38.0093,120.327,20,1,7.8,0.2,0.03,-21.9,-299.8
30.99833333,122.6285,21,2.5,7.9228,0.6488,0.0955,-22.889,-309.2
30.99833333,122.6285,21,2.5,7.9228,0.6488,0.0955,-22.889,-309.2
30.0355,122.6255,27,2.5,9.2533,0.6802,0.0858,-22.704,-322.9
30.0355,122.6255,27,2.5,9.2533,0.6802,0.0858,-22.704,-322.9
29.49941667,122.4992833,29,2.5,8.9688,0.7338,0.0955,-22.389,-308
29.49941667,122.4992833,29,2.5,8.9688,0.7338,0.0955,-22.389,-308
29.11975,122.2518333,21.5,2.5,6.8666,0.5027,0.0854,-22.453,-324.7
29.11975,122.2518333,21.5,2.5,6.8666,0.5027,0.0854,-22.453,-324.7
28.8882,123.16975,70.9,2.5,8.0032,0.6241,0.091,-21.038,-264.8
28.8882,123.16975,70.9,2.5,8.0032,0.6241,0.091,-21.038,-264.8
28.25025,121.7493833,17.7,2.5,7.702,0.6673,0.1011,-22.423,-326.3
28.25025,121.7493833,17.7,2.5,7.702,0.6673,0.1011,-22.423,-326.3
28.16805,122.0001167,39,2.5,8.9273,0.8265,0.108,-23.256,-278.1
28.16805,122.0001167,39,2.5,8.9273,0.8265,0.108,-23.256,-278.1
28.08383333,122.2504667,69.8,2.5,9.3606,0.861,0.1073,-21.559,-298.6
28.08383333,122.2504667,69.8,2.5,9.3606,0.861,0.1073,-21.559,-298.6
27.25725,121.8747,84.7,2.5,8.321,0.6137,0.086,-21.935,-369.6
27.25725,121.8747,84.7,2.5,8.321,0.6137,0.086,-21.935,-369.6
28.12385,125.9999833,116,2.5,9.9668,0.27,0.0316,-22.005,-289.6
28.12385,125.9999833,116,2.5,9.9668,0.27,0.0316,-22.005,-289.6
28.79166667,123.4984167,72,2.5,6.634,0.27,0.0475,-23.775,-328.4
28.79166667,123.4984167,72,2.5,6.634,0.27,0.0475,-23.775,-328.4
28.53343333,124.4984333,96.6,2.5,9.0003,0.3745,0.0485,-21.296,-319.4
28.53343333,124.4984333,96.6,2.5,9.0003,0.3745,0.0485,-21.296,-319.4
72.875,140.629,20,0.5,9.3,1.18,0.13,-27.4,-716.2
72.46,150.596,16,0.5,8.4,0.87,0.1,-27.4,-740.7
72.651,154.185,28,0.5,7,0.87,0.13,-26.2,-672.4
71.358,152.153,9,0.5,8.9,1.35,0.15,-27.4,-681.8
71.592,161.69,20,0.5,6.6,0.56,0.08,-26.5,-623.6
69.708,162.689,10,0.5,10,1.12,0.11,-27.3,-553.9
